date,ville,annee,marque,modele,couleur,km,vin,prix
2026-03-04,Montréal,2018,Acura,MDX Navi,Black,166649,5J8YD4H4XJL802336,18000
2026-02-25,Montréal,2020,Acura,MDX A-Spec,Gray,94774,5J8YD4H04LL803496,29000
2026-02-25,Montréal,2022,Acura,MDX A-Spec,Gray,85398,5J8YE1H05NL801089,40500
2026-03-04,Montréal,2022,Acura,MDX Platinum Elite,Blue,55423,5J8YE1H81NL803606,45600
2026-03-04,Montréal,2024,Acura,MDX A-Spec,Black,23282,5J8YE1H0XRL803149,55400
2026-02-25,Montréal,2019,Acura,TLX Tech A-Spec,Black,109209,19UUB3F67KA801564,25300
2026-03-04,Montréal,2025,Audi,A3 Sedan 40 TFSI Quattro,White,10168,WAUGUCGY5SA074606,33800
2026-03-04,Montréal,2022,Audi,A5 Sportback Progressiv,Red,66395,WAUFACF54NA030242,32200
2026-03-04,Montréal,2023,Audi,A5 Sportback Technik,Black,54954,WAUEACF50PA020578,37000
2026-03-04,Montréal,2022,Audi,A7 Sportback Technik,Blue,70914,WAUTPBF26NN020919,42200
2026-03-04,Montréal,2022,Audi,A7 Sportback Technik,Black,33469,WAUV2AF22NN011619,47400
2026-03-04,Montréal,2022,Audi,E-Tron Progressiv,Gray,100036,WA1AAAGE5NB019108,27000
2026-03-04,Montréal,2022,Audi,E-Tron Sportback Technik,Gray,36746,WA13AAGE0NB002452,38600
2026-03-04,Montréal,2022,Audi,Q3 Komfort,White,72836,WA1AUCF38N1079845,23500
2026-02-25,Montréal,2022,Audi,Q3 Komfort,White,66158,WA1AUCF33N1068073,21750
2026-03-04,Montréal,2023,Audi,Q3 Technik,Orange,43872,WA1FECF3XP1068318,35700
2026-03-04,Montréal,2024,Audi,Q3 Komfort,White,22487,WA1DECF38R1149599,34200
2026-03-04,Montréal,2024,Audi,Q3 Technik S Line,Black,37748,WA1FECF3XR1057760,34100
2026-03-04,Montréal,2025,Audi,Q4 E-Tron 55 Quattro,White,16530,WA1GUAFZ5SP028685,44000
2026-03-04,Montréal,2022,Audi,Q5 Komfort,Black,74195,WA1AAAFY6N2088255,25200
2026-03-04,Montréal,2022,Audi,Q5 Progressiv,Gray,33135,WA1EAAFY0N2084252,33200
2026-03-04,Montréal,2023,Audi,Q5 Progressiv,Blue,57601,WA1EAAFY7P2037254,34800
2026-03-04,Montréal,2023,Audi,Q5 Sportback Progressiv,White,45718,WA14AAFYXP2168089,36400
2026-03-04,Montréal,2022,Audi,Q8 Progressiv,Black,101158,WA1DVBF11ND016670,38400
2026-03-04,Montréal,2022,Audi,RS 5 Sportback 2.9 TFSI Quattro,White,99647,WUABWCF58NA900550,57400
2026-03-04,Montréal,2025,Audi,S5 Progressiv,Gray,4113,WAU25CFU5SN047713,60750
2026-03-05,Québec,2021,BMW,2 Series M235i xDrive,Gray,88272,WBA13AL06M7G89293,27600
2026-03-04,Montréal,2011,BMW,3 Series 323i,Gray,264861,WBAPG7G59BNN18129,1500
2026-03-04,Montréal,2018,BMW,3 Series 330i xDrive,Black,102059,WBA8D9C51JA013898,14500
2026-03-04,Montréal,2022,BMW,3 Series 330e xDrive,Gray,47862,WBA5P9C01NFM41218,28000
2026-03-04,Montréal,2022,BMW,3 Series 330i xDrive,White,111032,3MW5R7J05N8C29500,24300
2026-03-04,Montréal,2016,BMW,4 Series 428i xDrive,Black,155043,WBA4C9C54GG141558,9050
2026-02-25,Montréal,2016,BMW,5 Series 535i xDrive,Black,165228,WBA5B3C53GG260982,8600
2026-02-25,Montréal,2020,BMW,5 Series 530i xDrive,Black,77328,WBAJR7C09LWW77903,24900
